epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,397.97,0.75603,1.87235,0.66644,1.0209,0.85012,0.78613,0.87679,0.71368,0.80238,0.72348,0.75843,0.46579,0.74591,1.56199,0.59508,0.97413,0.000263321,0.000263321,0.000263321
31,411.498,0.75094,1.92537,0.6663,1.02962,0.85454,0.77943,0.878,0.71438,0.80568,0.7237,0.76369,0.46689,0.7532,1.56045,0.59025,0.97687,0.00025025,0.00025025,0.00025025
32,424.664,0.75262,1.88129,0.6654,1.02631,0.85572,0.77775,0.87785,0.71303,0.80694,0.72499,0.76689,0.46964,0.76289,1.56549,0.59353,0.98013,0.000237179,0.000237179,0.000237179
33,437.662,0.73359,1.87408,0.6503,1.01473,0.85299,0.7834,0.87799,0.7152,0.79914,0.73342,0.77185,0.46985,0.75342,1.56119,0.5949,0.97718,0.000224144,0.000224144,0.000224144
34,450.801,0.73218,1.86225,0.65792,1.0158,0.86138,0.77792,0.87941,0.71972,0.80321,0.72521,0.76827,0.46436,0.73767,1.55005,0.58718,0.97257,0.00021118,0.00021118,0.00021118
35,462.762,0.7453,1.8452,0.65326,1.02851,0.86186,0.7803,0.88068,0.72077,0.80671,0.72435,0.76518,0.46737,0.73933,1.54328,0.58099,0.97196,0.000198324,0.000198324,0.000198324
36,475.63,0.73742,1.83315,0.65434,1.02162,0.86509,0.78354,0.8817,0.72062,0.80932,0.72618,0.76335,0.4671,0.74762,1.5457,0.57946,0.97329,0.00018561,0.00018561,0.00018561
37,487.472,0.72986,1.83887,0.6556,1.0149,0.85596,0.7921,0.8826,0.72171,0.80529,0.73623,0.76873,0.47154,0.74619,1.52543,0.57624,0.97173,0.000173073,0.000173073,0.000173073
38,500.55,0.72823,1.856,0.6416,1.01038,0.85593,0.79412,0.88458,0.72525,0.80447,0.73774,0.7697,0.4688,0.73352,1.51772,0.57399,0.96761,0.000160748,0.000160748,0.000160748
39,514.506,0.72635,1.8571,0.63841,1.0116,0.85574,0.79218,0.88528,0.72785,0.81872,0.72607,0.77104,0.47,0.73134,1.51706,0.57352,0.96595,0.000148668,0.000148668,0.000148668
40,527.685,0.72182,1.82976,0.63459,1.00049,0.87076,0.78159,0.88526,0.72523,0.82392,0.72521,0.7738,0.47427,0.74061,1.51092,0.57215,0.96826,0.000136866,0.000136866,0.000136866
41,540.448,0.72819,1.81926,0.63653,1.01526,0.86797,0.78419,0.88437,0.72441,0.81657,0.72993,0.77258,0.47509,0.74173,1.51655,0.57223,0.96803,0.000125375,0.000125375,0.000125375
42,552.387,0.7084,1.77988,0.628,1.00184,0.87393,0.78311,0.88623,0.72823,0.8212,0.72888,0.77676,0.47695,0.73224,1.51192,0.5685,0.96552,0.000114226,0.000114226,0.000114226
43,565.454,0.71886,1.80096,0.6278,1.00834,0.8738,0.78203,0.88702,0.73141,0.82032,0.72953,0.77443,0.47553,0.72129,1.51086,0.56759,0.96252,0.000103451,0.000103451,0.000103451
44,578.121,0.73253,1.78785,0.63302,1.00975,0.86751,0.78375,0.88678,0.73248,0.81542,0.72819,0.77369,0.4741,0.71771,1.50934,0.56699,0.96132,9.30772e-05,9.30772e-05,9.30772e-05
45,589.801,0.71727,1.77976,0.62411,1.00059,0.87037,0.78483,0.88836,0.73148,0.81429,0.7332,0.77482,0.47695,0.72417,1.50387,0.56528,0.96383,8.31346e-05,8.31346e-05,8.31346e-05
46,602.954,0.71235,1.77586,0.62383,1.00693,0.87359,0.78528,0.8886,0.72968,0.81855,0.73277,0.77647,0.47949,0.7291,1.4973,0.56387,0.9657,7.36501e-05,7.36501e-05,7.36501e-05
47,616.134,0.71412,1.79628,0.62963,0.99866,0.87133,0.787,0.88913,0.73043,0.81689,0.73428,0.77656,0.4804,0.72847,1.49158,0.5625,0.96621,6.46496e-05,6.46496e-05,6.46496e-05
48,629.201,0.72579,1.81314,0.63116,1.00707,0.88094,0.78311,0.88935,0.73197,0.82756,0.7291,0.77811,0.48055,0.72607,1.48758,0.56229,0.96473,5.61578e-05,5.61578e-05,5.61578e-05
49,642.512,0.70895,1.75499,0.61712,1.00216,0.87823,0.78371,0.89001,0.73297,0.823,0.73299,0.77941,0.48081,0.72395,1.48445,0.56053,0.96359,4.8198e-05,4.8198e-05,4.8198e-05
50,655.319,0.70685,1.76586,0.61865,0.99969,0.87211,0.79132,0.88989,0.73371,0.82061,0.73424,0.77722,0.4803,0.72417,1.4813,0.56015,0.96364,4.0792e-05,4.0792e-05,4.0792e-05
51,671.655,0.67691,1.63009,0.59215,0.97748,0.87609,0.78354,0.88913,0.73242,0.82128,0.73164,0.77666,0.48113,0.72429,1.48414,0.56934,0.96382,3.39602e-05,3.39602e-05,3.39602e-05
52,682.899,0.67824,1.62126,0.59752,0.9794,0.87431,0.78289,0.88896,0.73263,0.82324,0.73169,0.77701,0.48115,0.72308,1.48331,0.57321,0.96316,2.77211e-05,2.77211e-05,2.77211e-05
53,694.159,0.67641,1.61423,0.58598,0.97694,0.87613,0.78095,0.8883,0.73228,0.82679,0.72888,0.77825,0.48193,0.72215,1.48196,0.57383,0.96351,2.2092e-05,2.2092e-05,2.2092e-05
54,707.056,0.66937,1.62091,0.5841,0.98267,0.87924,0.78014,0.88863,0.7324,0.82592,0.72888,0.77891,0.48281,0.72174,1.48233,0.57305,0.96344,1.70883e-05,1.70883e-05,1.70883e-05
55,719.378,0.66731,1.61747,0.58693,0.97851,0.87871,0.7803,0.88925,0.73294,0.82686,0.7294,0.78045,0.48341,0.72247,1.48163,0.57108,0.96389,1.27236e-05,1.27236e-05,1.27236e-05
56,731.628,0.66868,1.62231,0.58202,0.97732,0.87895,0.77922,0.88939,0.73316,0.82923,0.73118,0.78265,0.48497,0.7214,1.4797,0.56929,0.96316,9.01002e-06,9.01002e-06,9.01002e-06
57,743.959,0.66803,1.60786,0.58154,0.97648,0.87965,0.78005,0.88976,0.73318,0.82941,0.72953,0.78081,0.48546,0.72265,1.47785,0.56842,0.96364,5.95764e-06,5.95764e-06,5.95764e-06
58,756.183,0.67234,1.59825,0.57981,0.97836,0.88122,0.77857,0.88974,0.73311,0.8295,0.73045,0.78231,0.48515,0.72298,1.47874,0.56813,0.96371,3.57484e-06,3.57484e-06,3.57484e-06
59,767.308,0.67399,1.61534,0.58173,0.98207,0.88117,0.77852,0.88978,0.73318,0.82829,0.73018,0.78059,0.48466,0.72199,1.47757,0.56794,0.96324,1.86816e-06,1.86816e-06,1.86816e-06
60,778.411,0.66716,1.60516,0.58385,0.97961,0.8812,0.77875,0.88978,0.73332,0.82853,0.7304,0.78103,0.48479,0.72228,1.47765,0.5677,0.96329,8.42274e-07,8.42274e-07,8.42274e-07
