Frame Info: 
Type,Depth
Format,Z16
Frame Number,17031
Timestamp (ms),1774369381603.06
Resolution x,424
Resolution y,240
Bytes per pixel,2

Intrinsic:,
Fx,210.173737
Fy,210.173737
PPx,210.884140
PPy,117.275070
Distorsion,Brown Conrady
